algorithm,mode,horizon,seed,avg_per_turn_reward,early_turn_reward,sentiment_improvement,immediate_regret,resolution_rate,mean_episode_reward,success_count,escalation_count,dropout_count,timeout_count
thompson_hybrid_k5,truncated_hybrid,20,2,-0.33093272714840183,-0.32827372855382714,0.0,0.0,0.015,-1.4163920721951597,3,159,12,0
thompson,action_cb,20,3,-0.06035753069914226,-0.13630741439031022,0.0,0.0,0.05,-0.33800217191519666,10,161,29,0
thompson,strategy_cb,20,3,-0.026648866883901414,-0.16246008786385283,0.0,0.0,0.175,-0.178147675118881,35,126,16,0
thompson_hybrid_k1,truncated_hybrid,20,3,-0.21123604532012105,-0.14489924746594504,0.0,0.0,0.12,-1.5726523574083011,24,0,38,0
thompson_hybrid_k2,truncated_hybrid,20,3,-0.2762446379666696,-0.259137894103333,0.0,0.0,0.05,-1.689235961166185,10,64,28,0
thompson_hybrid_k3,truncated_hybrid,20,3,-0.32054720136947445,-0.3190934302155841,0.0,0.0,0.02,-1.670050919134962,4,104,23,0
thompson_hybrid_k5,truncated_hybrid,20,3,-0.3418629954725617,-0.3190934302155841,0.0,0.0,0.005,-1.553767314422793,1,145,16,0
epsilon,action_cb,1,1,-0.1929136894050503,-0.1929136894050503,0.0,0.0,0.0,-0.1929136894050503,0,0,2,198
epsilon,strategy_cb,1,1,-0.1769702008153478,-0.1769702008153478,0.0,0.0,0.0,-0.1769702008153478,0,0,2,198
epsilon_hybrid_k1,truncated_hybrid,1,1,-0.16929766894294518,-0.16929766894294518,0.0,0.0,0.0,-0.16929766894294518,0,0,0,200
epsilon,action_cb,1,2,-0.1899074126633851,-0.1899074126633851,0.0,0.0,0.0,-0.1899074126633851,0,0,2,198
epsilon,strategy_cb,1,2,-0.16856372060704236,-0.16856372060704236,0.0,0.0,0.0,-0.16856372060704236,0,0,0,200
epsilon_hybrid_k1,truncated_hybrid,1,2,-0.19049935442297092,-0.19049935442297092,0.0,0.0,0.0,-0.19049935442297092,0,0,2,198
epsilon,action_cb,1,3,-0.1702428512243591,-0.1702428512243591,0.0,0.0,0.0,-0.1702428512243591,0,0,1,199
epsilon,strategy_cb,1,3,-0.17870501788455326,-0.17870501788455326,0.0,0.0,0.0,-0.17870501788455326,0,0,2,198
epsilon_hybrid_k1,truncated_hybrid,1,3,-0.1863488954388999,-0.1863488954388999,0.0,0.0,0.0,-0.1863488954388999,0,0,2,198
epsilon,action_cb,2,1,-0.17870363591982572,-0.17870363591982572,0.0,0.0,0.0,-0.35562023548045324,0,0,4,196
epsilon,strategy_cb,2,1,-0.16480322701254035,-0.16480322701254035,0.0,0.0,0.0,-0.32878243789001815,0,0,2,198
